Rule Name,Match Criteria,Action Raw,Apply label,Forward to,Mark as read,Skip Inbox,Star it,Important,Never spam
Forward to sales@dadsprinting.com,to:(info@dadsprinting.com) subject:(New DTG Form Submission),Forward to sales@dadsprinting.com,,sales@dadsprinting.com,False,False,False,False,False
Forward to sales@dadsprinting.com,from:(service@tidycal.com),Forward to sales@dadsprinting.com,,sales@dadsprinting.com,False,False,False,False,False
Forward to sales@dadsprinting.com,from:(do_not_reply@intuit.com) subject:(Your Intuit code),Forward to sales@dadsprinting.com,,sales@dadsprinting.com,False,False,False,False,False
Forward to sales@dadsprinting.com,subject:(New Custom Tote Bags Form Submission),Forward to sales@dadsprinting.com,,sales@dadsprinting.com,False,False,False,False,False
Forward to sales@dadsprinting.com,from:(info@dadsprinting.com) subjec,Forward to sales@dadsprinting.com,,sales@dadsprinting.com,False,False,False,False,False
Forward to sales@dadsprinting.com,from:(info@dadsprinting.com) subject:(New Embroidery form submission),Forward to sales@dadsprinting.com,,sales@dadsprinting.com,False,False,False,False,False
Rule,from:(CSR@sanmarcanada.com) invoice,"Mark as read, Apply label ""TAG-SYS/Receipts 202",,,True,False,False,False,False
Skip inbox,from:(info@dadsprinting.com) subject:(Backed up: Dads Printing),Skip Inbox,,,False,True,False,False,False
Skip inbox,from:(orders-ca@ssactivewear.com) subject:Shipment,Skip Inbox,,,False,True,False,False,False
Monday.com notifications,via monday.com,Mark as read,,,True,False,False,False,False
Notifications,from:(calendar-notification@google.com OR @calendly.com OR @tidycal.com OR pkginfo@ups.com OR CloudPlatform-noreply@google.com OR support@dhl.com),"Apply label ""Notifications""",Notifications,,False,False,False,False,False
Notifications,from:(admin@dadsprinting.com) subject:(Missing Fields for Order),"Apply label ""Notifications""",Notifications,,False,False,False,False,False
